match_id,team_id,team_won,gold_diff,damage_diff,kills_diff,deaths_diff,assists_diff,vision_diff,turrets_diff,dragons_diff,barons_diff,cs_diff
EUW1_6832045389,100,0,-12620,-26238,-25,25,-22,-26,-7,-2,0,-72
EUW1_6832045389,200,1,12620,26238,25,-25,22,26,7,2,0,72
EUW1_6832131934,100,1,13871,45180,16,-16,46,49,9,3,0,181
EUW1_6832131934,200,0,-13871,-45180,-16,16,-46,-49,-9,-3,0,-181
EUW1_6832200433,100,1,-417,-92,-5,5,-7,-38,6,2,2,-220
EUW1_6832200433,200,0,417,92,5,-5,7,38,-6,-2,-2,220
EUW1_6832290304,100,0,-7379,-21657,-11,11,4,22,-6,-4,0,-139
EUW1_6832290304,200,1,7379,21657,11,-11,-4,-22,6,4,0,139
EUW1_6832299255,100,1,3881,6296,11,-10,0,20,8,-3,-1,54
EUW1_6832299255,200,0,-3881,-6296,-11,10,0,-20,-8,3,1,-54
EUW1_6832331921,100,1,9446,16996,15,-15,21,23,9,-2,1,-169
EUW1_6832331921,200,0,-9446,-16996,-15,15,-21,-23,-9,2,-1,169
EUW1_6832368906,100,1,4340,8564,-3,4,4,11,4,3,0,121
EUW1_6832368906,200,0,-4340,-8564,3,-4,-4,-11,-4,-3,0,-121
EUW1_6832394679,100,0,-2524,-2193,-2,5,-2,-11,0,0,0,-61
EUW1_6832394679,200,1,2524,2193,2,-5,2,11,0,0,0,61
EUW1_6832399020,100,1,6445,582,6,-6,19,-1,5,3,1,-3
EUW1_6832399020,200,0,-6445,-582,-6,6,-19,1,-5,-3,-1,3
EUW1_6832529111,100,0,-13821,-21010,-22,22,-25,-29,-6,-3,-2,-111
EUW1_6832529111,200,1,13821,21010,22,-22,25,29,6,3,2,111
EUW1_6832556050,100,1,8307,12544,11,-11,7,14,10,-2,1,-13
EUW1_6832556050,200,0,-8307,-12544,-11,11,-7,-14,-10,2,-1,13
EUW1_6832574394,100,0,-5495,-12494,-13,13,-10,-27,0,-1,0,-42
EUW1_6832574394,200,1,5495,12494,13,-13,10,27,0,1,0,42
